standard_number,title,description,status,version_number,effective_date,reviewed_year,source_name,source_url,authoritative,bis_url
IS 10,IS 10,IS 10,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlJqUnZyM3h4azVFaWZiSzdKeHIyR2c9PSIsInZhbHVlIjoidVJlYWYzcENhaEJYSDJpRG1EazV3Zz09IiwibWFjIjoiMjMzNWM1MWNlODYzYWFlYTdiNDM1Y2JlMjRhOGZiMzhiODU1MzhkNWYxOWU2MWExZjEzNTcwOTY4YWYwNzA4MCIsInRhZyI6IiJ9&standardNumber=IS%2010%20(Part%201):1990
IS 101,Part 1 : Sec 1 : 1986,Part 1 : Sec 1 : 1986,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imw1eVJ1NGlKaEFYK1o3UGJ2RVVRRWc9PSIsInZhbHVlIjoiWHpTQ3Frdmo5M3FCaGo3aVNRQ3J4Zz09IiwibWFjIjoiYTVhZTMzOTE0NjA1NDU0ZGY0OWFjNTQ3MDBhZmIzODEyNjA2NWE3ZjE2OGI1NmY3NzBhMjE4ZWQyYWNkZDk4OSIsInRhZyI6IiJ9&standardNumber=IS%20101%20(Part%201%2FSec%201):2023
IS 1:1968,IS 1:1968,IS 1:1968,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjJOd3NaUVVRSk1oWndDVVJqMkxFblE9PSIsInZhbHVlIjoiMzNlaFBnaWcrV2ZpUmttdklKVzF0UT09IiwibWFjIjoiNjQ4ZjExZGJmYTg0NTE5OTRkNjVkYThjMThlNTUyZTM0MjMyZTNhYzRmMDY2NDM5YmUzZDIyOGIyNDFjYzYwNyIsInRhZyI6IiJ9&standardNumber=IS%201:1968
IS 300:1968,IS 300:1968,IS 300:1968,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImlSaU9mWmdhVVZYWU9tT3RjbzZuWEE9PSIsInZhbHVlIjoiZEhTL1gxSVhHbjRVTVNXWjJkaldpZz09IiwibWFjIjoiMjE2MGJhNDc3OTMxYTA2ZWE1ZjhiODFlYzQwZjUxNWMyNDcxYTJlNzgxMTJkNjkwN2QzMWY3NmI0MjcyODFhOCIsInRhZyI6IiJ9&standardNumber=IS%20300:1968
IS 301:1982,IS 301:1982,IS 301:1982,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkZ6WjN6QmlSUEdCbVc1Nk5Ja0ltUnc9PSIsInZhbHVlIjoiSG4xZ2QzUStEUUlNaXdJVU1VSW5IUT09IiwibWFjIjoiODAxNzdkYWNmMmFhZWU0ZTZlZDI5MjNmYzFmZjQ4MjExNTUxMTUyYTkyYTU5MjA2MTRmZTlkYjViMDRkODQ2MSIsInRhZyI6IiJ9&standardNumber=IS%20301:1982
IS 302,IS 302,IS 302,published,,,2016,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjA4cUVsMXE5RUFnR1VTZmZSbDlwMlE9PSIsInZhbHVlIjoiRFQ0SGtRa3IrOVpEZ0VrYVdJd0pBZz09IiwibWFjIjoiZTUxNmVkMzE0MjhjNGIzNjYwNGM3ZjY4ZThhZDIzZTU2M2U0MjkzOWU5MTg5YjI5OWNlZmRmYmI3MWRlOGI5MyIsInRhZyI6IiJ9&standardNumber=IS%20302%20(Part%201):2008
IS 32:2023,IS 32:2023,IS 32:2023,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjlxYUhQeHA3dkFFcjErTXJNYWVyNnc9PSIsInZhbHVlIjoiUll6YWVxanlIMzZlVG5qQnZyR21kQT09IiwibWFjIjoiYjFlZjQ1YzQzNzI3NTg2ZDZhNzk4ZDI2ZDRmMDgxMmNhOGY1NmFmNGRmM2I1NDgyZjQ3YzA2MTY3OWIxMjc5NSIsInRhZyI6IiJ9&standardNumber=IS%2032:2023
IS 400:1968,IS 400:1968,IS 400:1968,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IndVQmxkS0xpczEzWUtVbVp2R3ZnQnc9PSIsInZhbHVlIjoiNXZua2dMVm9DQ28xczcyR0N6c3YrQT09IiwibWFjIjoiZjBkNTg4ZjFlMzcwNTU4NjhhY2JhMDJiM2I0NWRjMjk4YTE2MzMzODEwZjhlNTY1ZjQ5MGVhNzBiN2ZiMjBmYiIsInRhZyI6IiJ9&standardNumber=IS%20400:1968
IS 401:2001,IS 401:2001,IS 401:2001,published,,,2021,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlZCYUo4WGVkWWZueU5VSEhHNnN6cEE9PSIsInZhbHVlIjoidWgwVW4yaVJtMVBDTjYybXREam1GUT09IiwibWFjIjoiM2NhODYxOTFiMGQ5Y2UxNTNjODRhMDQwYTVmMzdmMTcxNDY3MTM1NzQ0ZTYxZGQ1ZjY5YzBiMDg5OTc4MDU5MiIsInRhZyI6IiJ9&standardNumber=IS%20401:2001
IS 402:1990,IS 402:1990,IS 402:1990,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik5qSGtpejU0eDZ2K2Z3U291OE1CZGc9PSIsInZhbHVlIjoiaXB5ZmMva1RlN2lWcUFnQUFtSEVLdz09IiwibWFjIjoiODA0OTQ1NzAzODMzMWI3NDEwZTliYzExOWJmYTBiMWM3NTRlNWE4Mzc2NzM0MWFhYzZhY2I1NzE3ZGQ1MDg4YSIsInRhZyI6IiJ9&standardNumber=IS%20402:1990
